table_name,column_name,field_class,derivation_rule,source_reference
dwd_cloud_type,qn_level,derived,DWD quality-level decode,DWD quality-level decode
dwd_cloud_type,qn_level_code,derived,DWD quality-level decode,DWD quality-level decode
dwd_cloud_type,qn_level_label_de,derived,DWD quality-level decode,DWD quality-level decode
dwd_cloud_type,source_record_id,derived,natural key or deterministic composite,silver governance
dwd_cloud_type,source_system,derived,constant per source,silver governance
dwd_cloud_type,total_cloud_cover,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_cloudiness,QN_8,source_provided,typed cast,dwd contract / business-name mapping
dwd_cloudiness,STATIONS_ID,source_provided,typed cast,dwd contract / business-name mapping
dwd_cloudiness,_had_key_conflict,derived,a resolved same-key conflict existed,silver conflict rule
dwd_cloudiness,_silver_loaded_at,derived,current_timestamp() at write,silver governance
dwd_cloudiness,_silver_run_id,derived,the Silver run id,silver governance
dwd_cloudiness,ags_code,derived,curated / prefix attribution to the Bundesland AGS,"geography attribution, Bundesland level"
dwd_cloudiness,ags_level,derived,geography level achieved (bundesland),geography attribution limit
dwd_cloudiness,ags_method,derived,attribution method (city_lookup / ags_prefix / bundesland_code),geography attribution
dwd_cloudiness,city,source_provided,typed cast,dwd contract / business-name mapping
dwd_cloudiness,cloud_cover_observation_method,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_cloudiness,ecosystem,derived,source_ecosystem_map.yml at the Silver boundary,provenance standard
dwd_cloudiness,eor,source_provided,typed cast,dwd contract / business-name mapping
dwd_cloudiness,observation_ts,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_cloudiness,qn_level,derived,DWD quality-level decode,DWD quality-level decode
dwd_cloudiness,qn_level_code,derived,DWD quality-level decode,DWD quality-level decode
dwd_cloudiness,qn_level_label_de,derived,DWD quality-level decode,DWD quality-level decode
dwd_cloudiness,source_record_id,derived,natural key or deterministic composite,silver governance
dwd_cloudiness,source_system,derived,constant per source,silver governance
dwd_cloudiness,total_cloud_cover,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_device_instrument,_silver_loaded_at,derived,current_timestamp() at write,silver governance
dwd_device_instrument,_silver_run_id,derived,the Silver run id,silver governance
dwd_device_instrument,device_type,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_device_instrument,ecosystem,derived,source_ecosystem_map.yml at the Silver boundary,provenance standard
dwd_device_instrument,eor,source_provided,typed cast,dwd contract / business-name mapping
dwd_device_instrument,latitude,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_device_instrument,longitude,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_device_instrument,measurement_method,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_device_instrument,parameter_category,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_device_instrument,sensor_height_m,source_provided,typed cast,dwd contract / business-name mapping
dwd_device_instrument,source_record_id,derived,natural key or deterministic composite,silver governance
dwd_device_instrument,source_system,derived,constant per source,silver governance
dwd_device_instrument,station_elevation_m,source_provided,typed cast,dwd contract / business-name mapping
dwd_device_instrument,station_id,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_device_instrument,station_name,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_device_instrument,valid_from,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_device_instrument,valid_to,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_dew_point,QN_8,source_provided,typed cast,dwd contract / business-name mapping
dwd_dew_point,STATIONS_ID,source_provided,typed cast,dwd contract / business-name mapping
dwd_dew_point,_had_key_conflict,derived,a resolved same-key conflict existed,silver conflict rule
dwd_dew_point,_silver_loaded_at,derived,current_timestamp() at write,silver governance
dwd_dew_point,_silver_run_id,derived,the Silver run id,silver governance
dwd_dew_point,ags_code,derived,curated / prefix attribution to the Bundesland AGS,"geography attribution, Bundesland level"
dwd_dew_point,ags_level,derived,geography level achieved (bundesland),geography attribution limit
dwd_dew_point,ags_method,derived,attribution method (city_lookup / ags_prefix / bundesland_code),geography attribution
dwd_dew_point,air_temperature_2m,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_dew_point,city,source_provided,typed cast,dwd contract / business-name mapping
dwd_dew_point,dew_point_temperature_2m,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_dew_point,ecosystem,derived,source_ecosystem_map.yml at the Silver boundary,provenance standard
dwd_dew_point,eor,source_provided,typed cast,dwd contract / business-name mapping
dwd_dew_point,observation_ts,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_dew_point,qn_level,derived,DWD quality-level decode,DWD quality-level decode
dwd_dew_point,qn_level_code,derived,DWD quality-level decode,DWD quality-level decode
dwd_dew_point,qn_level_label_de,derived,DWD quality-level decode,DWD quality-level decode
dwd_dew_point,source_record_id,derived,natural key or deterministic composite,silver governance
dwd_dew_point,source_system,derived,constant per source,silver governance
dwd_extreme_wind,QN_8,source_provided,typed cast,dwd contract / business-name mapping
dwd_extreme_wind,STATIONS_ID,source_provided,typed cast,dwd contract / business-name mapping
dwd_extreme_wind,_had_key_conflict,derived,a resolved same-key conflict existed,silver conflict rule
dwd_extreme_wind,_silver_loaded_at,derived,current_timestamp() at write,silver governance
dwd_extreme_wind,_silver_run_id,derived,the Silver run id,silver governance
dwd_extreme_wind,ags_code,derived,curated / prefix attribution to the Bundesland AGS,"geography attribution, Bundesland level"
dwd_extreme_wind,ags_level,derived,geography level achieved (bundesland),geography attribution limit
dwd_extreme_wind,ags_method,derived,attribution method (city_lookup / ags_prefix / bundesland_code),geography attribution
dwd_extreme_wind,city,source_provided,typed cast,dwd contract / business-name mapping
dwd_extreme_wind,ecosystem,derived,source_ecosystem_map.yml at the Silver boundary,provenance standard
dwd_extreme_wind,eor,source_provided,typed cast,dwd contract / business-name mapping
dwd_extreme_wind,observation_ts,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_extreme_wind,qn_level,derived,DWD quality-level decode,DWD quality-level decode
dwd_extreme_wind,qn_level_code,derived,DWD quality-level decode,DWD quality-level decode
dwd_extreme_wind,qn_level_label_de,derived,DWD quality-level decode,DWD quality-level decode
dwd_extreme_wind,source_record_id,derived,natural key or deterministic composite,silver governance
dwd_extreme_wind,source_system,derived,constant per source,silver governance
dwd_extreme_wind,wind_gust_max_hourly,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_missing_value_periods,_silver_loaded_at,derived,current_timestamp() at write,silver governance
dwd_missing_value_periods,_silver_run_id,derived,the Silver run id,silver governance
dwd_missing_value_periods,ecosystem,derived,source_ecosystem_map.yml at the Silver boundary,provenance standard
dwd_missing_value_periods,eor,source_provided,typed cast,dwd contract / business-name mapping
dwd_missing_value_periods,gap_description,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_missing_value_periods,missing_value_count,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_missing_value_periods,parameter_source_code,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_missing_value_periods,source_record_id,derived,natural key or deterministic composite,silver governance
dwd_missing_value_periods,source_system,derived,constant per source,silver governance
dwd_missing_value_periods,station_id,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_missing_value_periods,station_name,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_missing_value_periods,valid_from,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_missing_value_periods,valid_to,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_moisture,QN_8,source_provided,typed cast,dwd contract / business-name mapping
dwd_moisture,STATIONS_ID,source_provided,typed cast,dwd contract / business-name mapping
dwd_moisture,_had_key_conflict,derived,a resolved same-key conflict existed,silver conflict rule
dwd_moisture,_silver_loaded_at,derived,current_timestamp() at write,silver governance
dwd_moisture,_silver_run_id,derived,the Silver run id,silver governance
dwd_moisture,absolute_humidity,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_moisture,ags_code,derived,curated / prefix attribution to the Bundesland AGS,"geography attribution, Bundesland level"
dwd_moisture,ags_level,derived,geography level achieved (bundesland),geography attribution limit
dwd_moisture,ags_method,derived,attribution method (city_lookup / ags_prefix / bundesland_code),geography attribution
dwd_moisture,air_temperature_2m,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_moisture,city,source_provided,typed cast,dwd contract / business-name mapping
dwd_moisture,dew_point_temperature,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_moisture,ecosystem,derived,source_ecosystem_map.yml at the Silver boundary,provenance standard
dwd_moisture,eor,source_provided,typed cast,dwd contract / business-name mapping
dwd_moisture,observation_ts,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_moisture,pressure_station_level,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_moisture,qn_level,derived,DWD quality-level decode,DWD quality-level decode
dwd_moisture,qn_level_code,derived,DWD quality-level decode,DWD quality-level decode
dwd_moisture,qn_level_label_de,derived,DWD quality-level decode,DWD quality-level decode
dwd_moisture,relative_humidity,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_moisture,source_record_id,derived,natural key or deterministic composite,silver governance
dwd_moisture,source_system,derived,constant per source,silver governance
dwd_moisture,vapour_pressure,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_moisture,wet_bulb_temperature,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_parameter_catalog,catalog_vintage,derived,pinned DWD archive vintage,decode-authority vintage
dwd_parameter_catalog,parameter_business_name,derived,business-name mapping (parameters),business-name mapping
dwd_parameter_catalog,parameter_description_de,source_provided,dwd_parameter_unit.Parameterbeschreibung,dwd contract
dwd_parameter_catalog,parameter_source_code,source_provided,dwd_parameter_unit.Parameter,dwd contract
dwd_parameter_catalog,parameter_unit,derived,dwd_parameter_unit.Einheit,unit registry
dwd_parameter_unit,_silver_loaded_at,derived,current_timestamp() at write,silver governance
dwd_parameter_unit,_silver_run_id,derived,the Silver run id,silver governance
dwd_parameter_unit,ecosystem,derived,source_ecosystem_map.yml at the Silver boundary,provenance standard
dwd_parameter_unit,eor,source_provided,typed cast,dwd contract / business-name mapping
dwd_parameter_unit,parameter_data_source,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_parameter_unit,parameter_description_de,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_parameter_unit,parameter_extra_info,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_parameter_unit,parameter_reference,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_parameter_unit,parameter_source_code,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_parameter_unit,parameter_special_notes,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_parameter_unit,parameter_unit,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_parameter_unit,source_record_id,derived,natural key or deterministic composite,silver governance
dwd_parameter_unit,source_system,derived,constant per source,silver governance
dwd_parameter_unit,station_id,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_parameter_unit,station_name,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_parameter_unit,valid_from,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_parameter_unit,valid_to,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_precipitation,QN_8,source_provided,typed cast,dwd contract / business-name mapping
dwd_precipitation,STATIONS_ID,source_provided,typed cast,dwd contract / business-name mapping
dwd_precipitation,_had_key_conflict,derived,a resolved same-key conflict existed,silver conflict rule
dwd_precipitation,_silver_loaded_at,derived,current_timestamp() at write,silver governance
dwd_precipitation,_silver_run_id,derived,the Silver run id,silver governance
dwd_precipitation,ags_code,derived,curated / prefix attribution to the Bundesland AGS,"geography attribution, Bundesland level"
dwd_precipitation,ags_level,derived,geography level achieved (bundesland),geography attribution limit
dwd_precipitation,ags_method,derived,attribution method (city_lookup / ags_prefix / bundesland_code),geography attribution
dwd_precipitation,city,source_provided,typed cast,dwd contract / business-name mapping
dwd_precipitation,ecosystem,derived,source_ecosystem_map.yml at the Silver boundary,provenance standard
dwd_precipitation,eor,source_provided,typed cast,dwd contract / business-name mapping
dwd_precipitation,observation_ts,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_precipitation,precipitation_form_code,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_precipitation,precipitation_form_code_code,derived,"source code, verbatim",coded-value decode triple
dwd_precipitation,precipitation_form_code_label_de,derived,German label from the decode reference,coded-value decode triple
dwd_precipitation,precipitation_hourly_total,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_precipitation,precipitation_occurred_flag,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_precipitation,qn_level,derived,DWD quality-level decode,DWD quality-level decode
dwd_precipitation,qn_level_code,derived,DWD quality-level decode,DWD quality-level decode
dwd_precipitation,qn_level_label_de,derived,DWD quality-level decode,DWD quality-level decode
dwd_precipitation,source_record_id,derived,natural key or deterministic composite,silver governance
dwd_precipitation,source_system,derived,constant per source,silver governance
dwd_pressure,QN_8,source_provided,typed cast,dwd contract / business-name mapping
dwd_pressure,STATIONS_ID,source_provided,typed cast,dwd contract / business-name mapping
dwd_pressure,_had_key_conflict,derived,a resolved same-key conflict existed,silver conflict rule
dwd_pressure,_silver_loaded_at,derived,current_timestamp() at write,silver governance
dwd_pressure,_silver_run_id,derived,the Silver run id,silver governance
dwd_pressure,ags_code,derived,curated / prefix attribution to the Bundesland AGS,"geography attribution, Bundesland level"
dwd_pressure,ags_level,derived,geography level achieved (bundesland),geography attribution limit
dwd_pressure,ags_method,derived,attribution method (city_lookup / ags_prefix / bundesland_code),geography attribution
dwd_pressure,city,source_provided,typed cast,dwd contract / business-name mapping
dwd_pressure,ecosystem,derived,source_ecosystem_map.yml at the Silver boundary,provenance standard
dwd_pressure,eor,source_provided,typed cast,dwd contract / business-name mapping
dwd_pressure,observation_ts,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_pressure,pressure_sea_level,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_pressure,pressure_station_level,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_pressure,qn_level,derived,DWD quality-level decode,DWD quality-level decode
dwd_pressure,qn_level_code,derived,DWD quality-level decode,DWD quality-level decode
dwd_pressure,qn_level_label_de,derived,DWD quality-level decode,DWD quality-level decode
dwd_pressure,source_record_id,derived,natural key or deterministic composite,silver governance
dwd_pressure,source_system,derived,constant per source,silver governance
dwd_soil_temperature,QN_2,source_provided,typed cast,dwd contract / business-name mapping
dwd_soil_temperature,STATIONS_ID,source_provided,typed cast,dwd contract / business-name mapping
dwd_soil_temperature,_had_key_conflict,derived,a resolved same-key conflict existed,silver conflict rule
dwd_soil_temperature,_silver_loaded_at,derived,current_timestamp() at write,silver governance
dwd_soil_temperature,_silver_run_id,derived,the Silver run id,silver governance
dwd_soil_temperature,ags_code,derived,curated / prefix attribution to the Bundesland AGS,"geography attribution, Bundesland level"
dwd_soil_temperature,ags_level,derived,geography level achieved (bundesland),geography attribution limit
dwd_soil_temperature,ags_method,derived,attribution method (city_lookup / ags_prefix / bundesland_code),geography attribution
dwd_soil_temperature,city,source_provided,typed cast,dwd contract / business-name mapping
dwd_soil_temperature,ecosystem,derived,source_ecosystem_map.yml at the Silver boundary,provenance standard
dwd_soil_temperature,eor,source_provided,typed cast,dwd contract / business-name mapping
dwd_soil_temperature,observation_ts,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_soil_temperature,qn_level,derived,DWD quality-level decode,DWD quality-level decode
dwd_soil_temperature,qn_level_code,derived,DWD quality-level decode,DWD quality-level decode
dwd_soil_temperature,qn_level_label_de,derived,DWD quality-level decode,DWD quality-level decode
dwd_soil_temperature,soil_temperature_100cm,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_soil_temperature,soil_temperature_10cm,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_soil_temperature,soil_temperature_20cm,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_soil_temperature,soil_temperature_2cm,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_soil_temperature,soil_temperature_50cm,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_soil_temperature,soil_temperature_5cm,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_soil_temperature,source_record_id,derived,natural key or deterministic composite,silver governance
dwd_soil_temperature,source_system,derived,constant per source,silver governance
dwd_solar,MESS_DATUM_WOZ,source_provided,typed cast,dwd contract / business-name mapping
dwd_solar,QN_592,source_provided,typed cast,dwd contract / business-name mapping
dwd_solar,STATIONS_ID,source_provided,typed cast,dwd contract / business-name mapping
dwd_solar,_had_key_conflict,derived,a resolved same-key conflict existed,silver conflict rule
dwd_solar,_silver_loaded_at,derived,current_timestamp() at write,silver governance
dwd_solar,_silver_run_id,derived,the Silver run id,silver governance
dwd_solar,ags_code,derived,curated / prefix attribution to the Bundesland AGS,"geography attribution, Bundesland level"
dwd_solar,ags_level,derived,geography level achieved (bundesland),geography attribution limit
dwd_solar,ags_method,derived,attribution method (city_lookup / ags_prefix / bundesland_code),geography attribution
dwd_solar,city,source_provided,typed cast,dwd contract / business-name mapping
dwd_solar,diffuse_solar_radiation,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_solar,ecosystem,derived,source_ecosystem_map.yml at the Silver boundary,provenance standard
dwd_solar,eor,source_provided,typed cast,dwd contract / business-name mapping
dwd_solar,global_solar_radiation,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_solar,longwave_downward_radiation,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_solar,observation_ts,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_solar,observation_woz,derived,MESS_DATUM_WOZ kept as true local solar time,local solar time
dwd_solar,qn_level,derived,DWD quality-level decode,DWD quality-level decode
dwd_solar,qn_level_code,derived,DWD quality-level decode,DWD quality-level decode
dwd_solar,qn_level_label_de,derived,DWD quality-level decode,DWD quality-level decode
dwd_solar,solar_zenith_angle,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_solar,source_record_id,derived,natural key or deterministic composite,silver governance
dwd_solar,source_system,derived,constant per source,silver governance
dwd_solar,sunshine_duration_10min,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_station_geography,_silver_loaded_at,derived,current_timestamp() at write,silver governance
dwd_station_geography,_silver_run_id,derived,the Silver run id,silver governance
dwd_station_geography,ags_code,derived,curated / prefix attribution to the Bundesland AGS,"geography attribution, Bundesland level"
dwd_station_geography,ags_level,derived,geography level achieved (bundesland),geography attribution limit
dwd_station_geography,ags_method,derived,attribution method (city_lookup / ags_prefix / bundesland_code),geography attribution
dwd_station_geography,ecosystem,derived,source_ecosystem_map.yml at the Silver boundary,provenance standard
dwd_station_geography,latitude,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_station_geography,longitude,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_station_geography,source_record_id,derived,natural key or deterministic composite,silver governance
dwd_station_geography,source_system,derived,constant per source,silver governance
dwd_station_geography,station_elevation_m,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_station_geography,station_id,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_station_geography,station_name,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_station_geography,valid_from,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_station_geography,valid_to,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_station_name_history,_silver_loaded_at,derived,current_timestamp() at write,silver governance
dwd_station_name_history,_silver_run_id,derived,the Silver run id,silver governance
dwd_station_name_history,ecosystem,derived,source_ecosystem_map.yml at the Silver boundary,provenance standard
dwd_station_name_history,source_record_id,derived,natural key or deterministic composite,silver governance
dwd_station_name_history,source_system,derived,constant per source,silver governance
dwd_station_name_history,station_id,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_station_name_history,station_name,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_station_name_history,valid_from,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_station_name_history,valid_to,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_sun,QN_7,source_provided,typed cast,dwd contract / business-name mapping
dwd_sun,STATIONS_ID,source_provided,typed cast,dwd contract / business-name mapping
dwd_sun,_had_key_conflict,derived,a resolved same-key conflict existed,silver conflict rule
dwd_sun,_silver_loaded_at,derived,current_timestamp() at write,silver governance
dwd_sun,_silver_run_id,derived,the Silver run id,silver governance
dwd_sun,ags_code,derived,curated / prefix attribution to the Bundesland AGS,"geography attribution, Bundesland level"
dwd_sun,ags_level,derived,geography level achieved (bundesland),geography attribution limit
dwd_sun,ags_method,derived,attribution method (city_lookup / ags_prefix / bundesland_code),geography attribution
dwd_sun,city,source_provided,typed cast,dwd contract / business-name mapping
dwd_sun,ecosystem,derived,source_ecosystem_map.yml at the Silver boundary,provenance standard
dwd_sun,eor,source_provided,typed cast,dwd contract / business-name mapping
dwd_sun,observation_ts,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_sun,qn_level,derived,DWD quality-level decode,DWD quality-level decode
dwd_sun,qn_level_code,derived,DWD quality-level decode,DWD quality-level decode
dwd_sun,qn_level_label_de,derived,DWD quality-level decode,DWD quality-level decode
dwd_sun,source_record_id,derived,natural key or deterministic composite,silver governance
dwd_sun,source_system,derived,constant per source,silver governance
dwd_sun,sunshine_duration_hourly,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_visibility,QN_8,source_provided,typed cast,dwd contract / business-name mapping
dwd_visibility,STATIONS_ID,source_provided,typed cast,dwd contract / business-name mapping
dwd_visibility,_had_key_conflict,derived,a resolved same-key conflict existed,silver conflict rule
dwd_visibility,_silver_loaded_at,derived,current_timestamp() at write,silver governance
dwd_visibility,_silver_run_id,derived,the Silver run id,silver governance
dwd_visibility,ags_code,derived,curated / prefix attribution to the Bundesland AGS,"geography attribution, Bundesland level"
dwd_visibility,ags_level,derived,geography level achieved (bundesland),geography attribution limit
dwd_visibility,ags_method,derived,attribution method (city_lookup / ags_prefix / bundesland_code),geography attribution
dwd_visibility,city,source_provided,typed cast,dwd contract / business-name mapping
dwd_visibility,ecosystem,derived,source_ecosystem_map.yml at the Silver boundary,provenance standard
dwd_visibility,eor,source_provided,typed cast,dwd contract / business-name mapping
dwd_visibility,horizontal_visibility,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_visibility,observation_ts,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_visibility,qn_level,derived,DWD quality-level decode,DWD quality-level decode
dwd_visibility,qn_level_code,derived,DWD quality-level decode,DWD quality-level decode
dwd_visibility,qn_level_label_de,derived,DWD quality-level decode,DWD quality-level decode
dwd_visibility,source_record_id,derived,natural key or deterministic composite,silver governance
dwd_visibility,source_system,derived,constant per source,silver governance
dwd_visibility,visibility_observation_method,source_provided,typed cast + English business rename,dwd contract / business-name mapping
dwd_weather_phenomena,QN_8,source_provided,typed cast,dwd contract / business-name mapping
dwd_weather_phenomena,STATIONS_ID,source_provided,typed cast,dwd contract / business-name mapping
